Year,AnnualCO2,logCO2,AnnualCO2_err,logCO2_err
1969,27101106000.0000,10.4330,3957150663.3499,0.0634
1970,28266830000.0000,10.4513,1701576282.0616,0.0261
1971,28280381000.0000,10.4515,1139408418.8047,0.0175
1972,29437508000.0000,10.4689,2222723252.3583,0.0328
1973,30340880000.0000,10.4820,1337884730.9531,0.0192
1974,30245190000.0000,10.4807,3915174502.5627,0.0562
1975,30411125000.0000,10.4830,3107754117.4049,0.0444
1976,31535469000.0000,10.4988,2600446958.8816,0.0358
1977,32603044000.0000,10.5133,1329266713.7058,0.0177
1978,33151205000.0000,10.5205,4336788160.1132,0.0568
1979,33198746000.0000,10.5211,3667801286.7444,0.0480
1980,33347820000.0000,10.5231,2103712096.2679,0.0274
1981,32570309000.0000,10.5128,1960105394.0364,0.0261
1982,32320344000.0000,10.5095,3758017870.7451,0.0505
1983,32752468000.0000,10.5152,4685815572.4776,0.0621
1984,34383640000.0000,10.5364,4233366589.0608,0.0535
1985,34802164000.0000,10.5416,4665429769.4227,0.0582
1986,35424960000.0000,10.5493,4108320707.8382,0.0504
1987,35869164000.0000,10.5547,2664234765.0731,0.0323
1988,36640596000.0000,10.5640,5429818199.6095,0.0644
1989,36901773000.0000,10.5670,2500311719.1725,0.0294
1990,37335880000.0000,10.5721,1959277951.6241,0.0228
1991,37748945000.0000,10.5769,5051347555.8639,0.0581
1992,37381090000.0000,10.5727,3645623070.8640,0.0424
1993,37327962000.0000,10.5720,2470458121.2402,0.0287
1994,38563020000.0000,10.5862,3592072584.7530,0.0405
1995,38797140000.0000,10.5888,6040746374.0129,0.0676
1996,40186060000.0000,10.6041,3592569874.8172,0.0388
1997,41658655000.0000,10.6197,3533067783.9985,0.0368
1998,40217952000.0000,10.6044,4731039500.2021,0.0511
1999,40655057000.0000,10.6091,4936245473.9409,0.0527
2000,40732266000.0000,10.6099,6065795516.6511,0.0647
2001,40393683000.0000,10.6063,4642740959.9122,0.0499
2002,41334140000.0000,10.6163,3472669168.9230,0.0365
2003,43886330000.0000,10.6423,4179100563.1656,0.0414
2004,44371150000.0000,10.6471,2989896826.9449,0.0293
2005,44987160000.0000,10.6531,6953712423.1737,0.0671
2006,46601814000.0000,10.6684,5147345748.6572,0.0480
2007,46866113000.0000,10.6709,5234429149.5125,0.0485
2008,47752990000.0000,10.6790,6612638596.8171,0.0601
2009,47577604000.0000,10.6774,5737693835.5243,0.0524
2010,49800950000.0000,10.6972,7903355294.6866,0.0689
2011,51089150000.0000,10.7083,7631248333.9645,0.0649
2012,52088530000.0000,10.7167,5762047438.4194,0.0480
2013,51811950000.0000,10.7144,5129131256.9809,0.0430
2014,52359200000.0000,10.7190,8236695880.0093,0.0683
2015,52443984000.0000,10.7197,5504437767.1721,0.0456
2016,51361518000.0000,10.7106,3653895050.0451,0.0309
2017,51949548000.0000,10.7156,7010227922.9369,0.0586
2018,52420270000.0000,10.7195,2332033399.2847,0.0193
2019,52796522000.0000,10.7226,8407221732.9761,0.0692
2020,50792542000.0000,10.7058,6644261390.1511,0.0568
2021,52938793000.0000,10.7238,5315593324.0805,0.0436
2022,53327217000.0000,10.7269,7473215212.5366,0.0609
2023,53816852000.0000,10.7309,5615242699.6902,0.0453
